file_id	md5	size	urls	sample_id
d39c1941c8f6e8b0f6ead5d7f73fb275	45477c1470d641bb4de15510394e4c5c	52393634	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/16s/raw/CSM5FZ3N_P.fastq.gz	cad5930efe6763b64b3ccf1cd669a2eb
d39c1941c8f6e8b0f6ead5d7f7533a78	8ee0f07bbfa97f4691a1f8cddc401e99	19280	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/16s/raw/HSM5MD7Z_P.fastq.gz	e85a36182291e14f07e89efdce4eab9b
d39c1941c8f6e8b0f6ead5d7f7486102	3a7b8bc3458e01670099045ff48ff467	50095295	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/16s/raw/CSM5MCVH_P.fastq.gz	cad5930efe6763b64b3ccf1cd6767c18
d39c1941c8f6e8b0f6ead5d7f75547ea	0b1d14d8e33c35b35d4cf6c0af1d02b5	1234	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/16s/raw/HSM5MD8J_P.fastq.gz	d39c1941c8f6e8b0f6ead5d7f7155d23
d39c1941c8f6e8b0f6ead5d7f74926b1	ac9fccc39309dd3111a1304b4239c953	37884798	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/16s/raw/ESM5MEDZ_P.fastq.gz	e85a36182291e14f07e89efdce422b48
d39c1941c8f6e8b0f6ead5d7f751adcb	b110044012ece600b9011586ba77ec76	48021946	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/16s/raw/HSM5MD86_P.fastq.gz	cad5930efe6763b64b3ccf1cd69b8f94
d39c1941c8f6e8b0f6ead5d7f74c224e	6a1bf37e3a466d1fed37a29de434c276	33722	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/16s/raw/ESM5MEEC_P.fastq.gz	d39c1941c8f6e8b0f6ead5d7f74c165d
d39c1941c8f6e8b0f6ead5d7f75a4891	6babb9c0354bdd2672bd9385a0e1084a	75349041	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/16s/raw/MSM5FZ8Y_P.fastq.gz	d39c1941c8f6e8b0f6ead5d7f75a3064
d39c1941c8f6e8b0f6ead5d7f76482ab	ac6eae8abbf2d616db24ab7b84659311	1900	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/16s/raw/MSM5LLIS_P.fastq.gz	cad5930efe6763b64b3ccf1cd6c29678
d39c1941c8f6e8b0f6ead5d7f7560f25	570f23fe364b55e0ffd43a596a6501f6	206950	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/16s/raw/HSM5MD3L_P.fastq.gz	cad5930efe6763b64b3ccf1cd6a5a071
d39c1941c8f6e8b0f6ead5d7f747a324	e102d7973293945ab72c10b81227dd3e	35042506	https://downloads.hmpdacc.org/ihmp/ibd/genome/microbiome/16s/raw/CSM5MCU4_P.fastq.gz	cad5930efe6763b64b3ccf1cd6754842
